Name,sex,January 2000,July 2000,October 2000,January 2001,April 2001,July 2001,October 2001,January 2002,April 2002,July 2002,October 2002,January 2003,April 2003,July 2003,October 2003,January 2004,April 2004,July 2004,October 2004,January 2005,April 2005,July 2005,October 2005,January 2006,April 2006,July 2006,October 2006,January 2007,April 2007,July 2007,October 2007,January 2008,April 2008,July 2008,October 2008,January 2009,April 2009,July 2009,September 2009,November 2009,January 2010,March 2010,May 2010,July 2010,September 2010,November 2010,January 2011,March 2011,May 2011,July 2011,September 2011,November 2011,January 2012,March 2012,May 2012,July 2012,August 2012,September 2012,October 2012,November 2012,December 2012,January 2013,February 2013,March 2013,April 2013,May 2013,June 2013,July 2013,August 2013,September 2013,October 2013,November 2013,December 2013,January 2014,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022
"Adhiban, B. ",M,,,,,,,,,,,,,2061,2059,2059,2019,2046,2072,2075,2093,2137,2193,2190,2222,2233,2310,2303,2275,2368,2406,2422,2401,2421,2422,2439,2504,2483,2481,2490,2486,2511,2510,2510,2483,2516,2515,2530,2543,2543,2542,2551,2544,2561,2561,2555,2553,2553,2564,2564,2559,2567,2558,2547,2561,2555,2556,2567,2567,2567,2567,2587,2569,2569,2590,2590,2608,2609,2624,2624,2610,2619,2619,2630,2630,2630,2630,2630,2646,2630,2636,2627,2627,2643,2674,2674,2669,2669,2653,2653,2663,2663,2665,2677,2671,2671,2671,2689,2666,2666,2653,2682,2682,2661,2672,2670,2677,2677,2670,2671,2655,2655,2655,2643,2650,2661,2671,2671,2671,2671,2668,2668,2682,2695,2689,2689,2683,2701,2701,2676,2665,2665,2639,2639,2654,2654,2654,2654,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659,2660,2660,2660,2660,2660,2672,2672,2672,2648,2648,2648,2648,2633,2616,2616
Akash G,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,1935,1967,1998,2054,2044,2111,2150,2161,2148,2132,2138,2138,2188,2213,2214,2214,2211,2211,2196,2239,2275,2275,2275,2275,2347,2343,2343,2343,2404,2404,2407,2407,2397,2397,2397,2380,2332,2340,2340,2343,2343,2343,2345,2345,2345,2345,2345,2345,2352,2354,2354,2354,2354,2354,2354,2354,2354,2354,2354,2354,2354,2368,2383,2408,2408,2408,2408,2400,2400,2400,2400,2400,2400,2400,2395,2395,2395,2395,2405,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2410,2424,2424,2443,2443,2453,2411,2411,2414,2404,2404,2394,2394,2414,2449,2456,2431,2461,2449,2487,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
"Akshayraj, Kore ",M,,2103,2080,2080,2101,2089,2101,2101,2092,2107,2167,2275,2283,2300,2318,2330,2330,2330,2400,2409,2388,2395,2395,2395,2395,2395,2429,2416,2416,2416,2416,2399,2395,2392,2400,2403,2404,2411,2394,2394,2394,2394,2394,2394,2379,2379,2379,2382,2374,2374,2384,2386,2386,2422,2454,2454,2483,2472,2472,2459,2459,2463,2455,2481,2512,2508,2508,2493,2481,2481,2481,2481,2481,2481,2491,2486,2486,2491,2482,2482,2463,2468,2468,2468,2468,2468,2472,2472,2472,2472,2472,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2474,2475,2475,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482,2482
"Anand, Viswanathan ",M,2769,2762,2774,2790,2794,2797,2770,2757,2752,2755,2755,2753,2764,2774,2766,2766,2774,2782,2781,2786,2785,2788,2788,2792,2803,2779,2779,2779,2786,2792,2801,2799,2803,2798,2783,2791,2783,2788,2788,2788,2790,2787,2789,2800,2800,2804,2810,2817,2817,2817,2817,2811,2799,2799,2791,2780,2780,2780,2780,2775,2775,2772,2780,2784,2783,2783,2786,2775,2775,2775,2775,2775,2773,2773,2773,2770,2785,2785,2785,2785,2785,2785,2785,2792,2793,2797,2797,2791,2791,2804,2804,2816,2816,2816,2803,2803,2796,2784,2784,2762,2770,2770,2770,2770,2770,2776,2776,2779,2779,2786,2786,2786,2786,2786,2786,2783,2783,2794,2783,2782,2782,2767,2779,2776,2776,2760,2759,2768,2768,2771,2771,2773,2773,2773,2779,2779,2774,2774,2767,2764,2756,2765,2765,2757,2757,2758,2755,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2751,2751,2751,2751,2751,2751,2751,2751
"Ankit, R. Rajpara ",M,,,,,,,,,,,,,,,2049,2049,2031,1996,1996,1996,1971,1979,1969,1969,1977,2035,2039,2071,2115,2123,2135,2122,2160,2193,2200,2179,2179,2229,2259,2299,2298,2334,2350,2362,2364,2380,2362,2353,2353,2341,2281,2349,2349,2399,2412,2401,2401,2401,2397,2423,2424,2407,2421,2421,2421,2428,2428,2421,2439,2469,2469,2469,2443,2443,2455,2476,2506,2506,2511,2511,2509,2509,2508,2494,2494,2479,2479,2477,2474,2461,2461,2461,2460,2467,2467,2472,2489,2489,2491,2491,2491,2476,2476,2476,2476,2474,2474,2474,2474,2474,2474,2474,2474,2474,2474,2474,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2451,2462,2462,2447,2447,2454,2454,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452
"Anurag, Mhamal ",M,,,,,,,,,,,,,,,,1855,1855,1881,1914,1914,1914,1914,1897,1897,1897,1901,1888,1921,2006,2059,2092,2106,2126,2113,2143,2159,2158,2175,2224,2222,2236,2210,2210,2207,2207,2198,2198,2198,2198,2189,2208,2222,2240,2273,2295,2301,2312,2337,2349,2392,2370,2399,2401,2401,2401,2401,2401,2418,2427,2426,2437,2437,2416,2420,2420,2420,2420,2420,2414,2405,2412,2442,2442,2437,2437,2446,2426,2413,2402,2402,2397,2393,2393,2397,2397,2387,2391,2387,2383,2421,2421,2406,2392,2392,2402,2427,2423,2423,2423,2423,2454,2454,2454,2466,2466,2477,2487,2487,2487,2488,2488,2472,2476,2484,2484,2484,2484,2484,2484,2471,2495,2491,2491,2492,2492,2504,2504,2497,2497,2490,2490,2490,2490,2490,2490,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499,2499
"Aravindh, Chithambaram VR. ",M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1821,1806,1889,1948,2014,2007,2055,2091,2113,2170,2180,2212,2213,2262,2246,2199,2228,2245,2240,2270,2276,2311,2338,2342,2331,2327,2333,2328,2328,2306,2336,2336,2346,2335,2415,2381,2381,2395,2417,2439,2444,2443,2467,2496,2485,2485,2476,2504,2504,2504,2504,2504,2504,2507,2505,2487,2487,2496,2486,2500,2500,2506,2515,2528,2536,2543,2543,2564,2564,2565,2566,2588,2588,2588,2588,2588,2593,2593,2579,2573,2573,2572,2586,2607,2617,2617,2597,2597,2580,2580,2581,2578,2579,2584,2584,2601,2601,2599,2602,2598,2598,2600,2607,2609,2609,2605,2605,2630,2630,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2641,2611,2611,2611,2611,2611,2611,2611,2613,2606,2606
Arjun Kalyan,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393,1393,1363,1363,1363,1401,1401,1439,1439,1439,1439,1465,1465,1473,1489,1536,1567,1581,1581,1681,1734,1734,1789,1819,1826,1826,1778,1778,1866,1853,1818,1808,1822,1822,1888,1925,2037,2149,2150,2150,2108,2108,2108,2300,2300,2300,2324,2298,2292,2292,2312,2312,2308,2269,2269,2280,2280,2280,2322,2322,2347,2366,2406,2406,2419,2419,2407,2397,2397,2397,2383,2370,2370,2390,2408,2408,2406,2406,2395,2444,2444,2445,2484,2484,2482,2482,2473,2483,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477,2503,2503,2503,2503,2532,2537,2537,2537,2532,2506,2506,2477,2477,2477
"Arun Prasad, S. ",M,2047,2063,2063,2063,2081,2081,2064,2085,2137,2142,2213,2272,2275,2296,2306,2292,2334,2348,2367,2347,2374,2374,2384,2384,2384,2433,2424,2399,2433,2448,2423,2423,2465,2492,2530,2552,2552,2556,2564,2570,2567,2549,2550,2535,2535,2519,2513,2496,2495,2489,2522,2530,2530,2517,2519,2518,2531,2522,2510,2513,2513,2514,2514,2521,2521,2521,2522,2529,2529,2529,2529,2529,2507,2504,2477,2477,2472,2472,2472,2472,2482,2482,2482,2482,2482,2502,2502,2502,2508,2496,2496,2496,2503,2520,2520,2519,2519,2519,2519,2509,2509,2502,2502,2502,2491,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507,2507
Aryan Chopra,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741,1705,1705,1700,1716,1716,1776,1793,1806,1817,1817,1817,1833,1833,1836,1869,1869,1969,1985,2023,2051,2051,2051,2120,2120,2120,2120,2120,2120,2122,2122,2147,2189,2259,2259,2259,2259,2242,2242,2242,2242,2242,2252,2246,2337,2337,2337,2337,2337,2334,2334,2334,2334,2334,2402,2402,2430,2430,2436,2436,2447,2447,2447,2447,2459,2459,2483,2485,2480,2503,2503,2503,2503,2503,2491,2491,2491,2491,2491,2507,2529,2529,2529,2536,2509,2509,2509,2523,2536,2536,2536,2536,2541,2541,2540,2540,2540,2540,2540,2547,2553,2553,2553,2553,2562,2562,2562,2562,2562,2562,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2585,2592,2609,2609
