name,date,standard
"Adhiban, B. ",2022-Jun,2616
"Adhiban, B. ",2022-May,2616
"Adhiban, B. ",2022-Apr,2633
"Adhiban, B. ",2022-Mar,2648
"Adhiban, B. ",2022-Feb,2648
"Adhiban, B. ",2022-Jan,2648
"Adhiban, B. ",2021-Dec,2648
"Adhiban, B. ",2021-Nov,2672
"Adhiban, B. ",2021-Oct,2672
"Adhiban, B. ",2021-Sep,2672
"Adhiban, B. ",2021-Aug,2660
"Adhiban, B. ",2021-Jul,2660
"Adhiban, B. ",2021-Jun,2660
"Adhiban, B. ",2021-May,2660
"Adhiban, B. ",2021-Apr,2660
"Adhiban, B. ",2021-Mar,2659
"Adhiban, B. ",2021-Feb,2659
"Adhiban, B. ",2021-Jan,2659
"Adhiban, B. ",2020-Dec,2659
"Adhiban, B. ",2020-Nov,2659
"Adhiban, B. ",2020-Oct,2659
"Adhiban, B. ",2020-Sep,2659
"Adhiban, B. ",2020-Aug,2659
"Adhiban, B. ",2020-Jul,2659
"Adhiban, B. ",2020-Jun,2659
"Adhiban, B. ",2020-May,2659
"Adhiban, B. ",2020-Apr,2659
"Adhiban, B. ",2020-Mar,2659
"Adhiban, B. ",2020-Feb,2654
"Adhiban, B. ",2020-Jan,2654
"Adhiban, B. ",2019-Dec,2654
"Adhiban, B. ",2019-Nov,2654
"Adhiban, B. ",2019-Oct,2639
"Adhiban, B. ",2019-Sep,2639
"Adhiban, B. ",2019-Aug,2665
"Adhiban, B. ",2019-Jul,2665
"Adhiban, B. ",2019-Jun,2676
"Adhiban, B. ",2019-May,2701
"Adhiban, B. ",2019-Apr,2701
"Adhiban, B. ",2019-Mar,2683
"Adhiban, B. ",2019-Feb,2689
"Adhiban, B. ",2019-Jan,2689
"Adhiban, B. ",2018-Dec,2695
"Adhiban, B. ",2018-Nov,2682
"Adhiban, B. ",2018-Oct,2668
"Adhiban, B. ",2018-Sep,2668
"Adhiban, B. ",2018-Aug,2671
"Adhiban, B. ",2018-Jul,2671
"Adhiban, B. ",2018-Jun,2671
"Adhiban, B. ",2018-May,2671
"Adhiban, B. ",2018-Apr,2661
"Adhiban, B. ",2018-Mar,2650
"Adhiban, B. ",2018-Feb,2643
"Adhiban, B. ",2018-Jan,2655
"Adhiban, B. ",2017-Dec,2655
"Adhiban, B. ",2017-Nov,2655
"Adhiban, B. ",2017-Oct,2671
"Adhiban, B. ",2017-Sep,2670
"Adhiban, B. ",2017-Aug,2677
"Adhiban, B. ",2017-Jul,2677
"Adhiban, B. ",2017-Jun,2670
"Adhiban, B. ",2017-May,2672
"Adhiban, B. ",2017-Apr,2661
"Adhiban, B. ",2017-Mar,2682
"Adhiban, B. ",2017-Feb,2682
"Adhiban, B. ",2017-Jan,2653
"Adhiban, B. ",2016-Dec,2666
"Adhiban, B. ",2016-Nov,2666
"Adhiban, B. ",2016-Oct,2689
"Adhiban, B. ",2016-Sep,2671
"Adhiban, B. ",2016-Aug,2671
"Adhiban, B. ",2016-Jul,2671
"Adhiban, B. ",2016-Jun,2677
"Adhiban, B. ",2016-May,2665
"Adhiban, B. ",2016-Apr,2663
"Adhiban, B. ",2016-Mar,2663
"Adhiban, B. ",2016-Feb,2653
"Adhiban, B. ",2016-Jan,2653
"Adhiban, B. ",2015-Dec,2669
"Adhiban, B. ",2015-Nov,2669
"Adhiban, B. ",2015-Oct,2674
"Adhiban, B. ",2015-Sep,2674
"Adhiban, B. ",2015-Aug,2643
"Adhiban, B. ",2015-Jul,2627
"Adhiban, B. ",2015-Jun,2627
"Adhiban, B. ",2015-May,2636
"Adhiban, B. ",2015-Apr,2630
"Adhiban, B. ",2015-Mar,2646
"Adhiban, B. ",2015-Feb,2630
"Adhiban, B. ",2015-Jan,2630
"Adhiban, B. ",2014-Dec,2630
"Adhiban, B. ",2014-Nov,2630
"Adhiban, B. ",2014-Oct,2630
"Adhiban, B. ",2014-Sep,2619
"Adhiban, B. ",2014-Aug,2619
"Adhiban, B. ",2014-Jul,2610
"Adhiban, B. ",2014-Jun,2624
"Adhiban, B. ",2014-May,2624
"Adhiban, B. ",2014-Apr,2609
"Adhiban, B. ",2014-Mar,2608
"Adhiban, B. ",2014-Feb,2590
"Adhiban, B. ",2014-Jan,2590
"Adhiban, B. ",2013-Dec,2569
"Adhiban, B. ",2013-Nov,2569
"Adhiban, B. ",2013-Oct,2587
"Adhiban, B. ",2013-Sep,2567
"Adhiban, B. ",2013-Aug,2567
"Adhiban, B. ",2013-Jul,2567
"Adhiban, B. ",2013-Jun,2567
"Adhiban, B. ",2013-May,2556
"Adhiban, B. ",2013-Apr,2555
"Adhiban, B. ",2013-Mar,2561
"Adhiban, B. ",2013-Feb,2547
"Adhiban, B. ",2013-Jan,2558
"Adhiban, B. ",2012-Dec,2567
"Adhiban, B. ",2012-Nov,2559
"Adhiban, B. ",2012-Oct,2564
"Adhiban, B. ",2012-Sep,2564
"Adhiban, B. ",2012-Aug,2553
"Adhiban, B. ",2012-Jul,2553
"Adhiban, B. ",2012-May,2555
"Adhiban, B. ",2012-Mar,2561
"Adhiban, B. ",2012-Jan,2561
"Adhiban, B. ",2011-Nov,2544
"Adhiban, B. ",2011-Sep,2551
"Adhiban, B. ",2011-Jul,2542
"Adhiban, B. ",2011-May,2543
"Adhiban, B. ",2011-Mar,2543
"Adhiban, B. ",2011-Jan,2530
"Adhiban, B. ",2010-Nov,2515
"Adhiban, B. ",2010-Sep,2516
"Adhiban, B. ",2010-Jul,2483
"Adhiban, B. ",2010-May,2510
"Adhiban, B. ",2010-Mar,2510
"Adhiban, B. ",2010-Jan,2511
"Adhiban, B. ",2009-Nov,2486
"Adhiban, B. ",2009-Sep,2490
"Adhiban, B. ",2009-Jul,2481
"Adhiban, B. ",2009-Apr,2483
"Adhiban, B. ",2009-Jan,2504
"Adhiban, B. ",2008-Oct,2439
"Adhiban, B. ",2008-Jul,2422
"Adhiban, B. ",2008-Apr,2421
"Adhiban, B. ",2008-Jan,2401
"Adhiban, B. ",2007-Oct,2422
"Adhiban, B. ",2007-Jul,2406
"Adhiban, B. ",2007-Apr,2368
"Adhiban, B. ",2007-Jan,2275
"Adhiban, B. ",2006-Oct,2303
"Adhiban, B. ",2006-Jul,2310
"Adhiban, B. ",2006-Apr,2233
"Adhiban, B. ",2006-Jan,2222
"Adhiban, B. ",2005-Oct,2190
"Adhiban, B. ",2005-Jul,2193
"Adhiban, B. ",2005-Apr,2137
"Adhiban, B. ",2005-Jan,2093
"Adhiban, B. ",2004-Oct,2075
"Adhiban, B. ",2004-Jul,2072
"Adhiban, B. ",2004-Apr,2046
"Adhiban, B. ",2004-Jan,2019
"Adhiban, B. ",2003-Oct,2059
"Adhiban, B. ",2003-Jul,2059
"Adhiban, B. ",2003-Apr,2061
Akash G ,2022-Jun,2495
Akash G ,2022-May,2495
Akash G ,2022-Apr,2495
Akash G ,2022-Mar,2495
Akash G ,2022-Feb,2495
Akash G ,2022-Jan,2495
Akash G ,2021-Dec,2495
Akash G ,2021-Nov,2495
Akash G ,2021-Oct,2495
Akash G ,2021-Sep,2495
Akash G ,2021-Aug,2495
Akash G ,2021-Jul,2495
Akash G ,2021-Jun,2495
Akash G ,2021-May,2495
Akash G ,2021-Apr,2495
Akash G ,2021-Mar,2495
Akash G ,2021-Feb,2495
Akash G ,2021-Jan,2495
Akash G ,2020-Dec,2495
Akash G ,2020-Nov,2495
Akash G ,2020-Oct,2495
Akash G ,2020-Sep,2495
Akash G ,2020-Aug,2495
Akash G ,2020-Jul,2495
Akash G ,2020-Jun,2495
Akash G ,2020-May,2495
Akash G ,2020-Apr,2495
Akash G ,2020-Mar,2487
Akash G ,2020-Feb,2449
Akash G ,2020-Jan,2461
Akash G ,2019-Dec,2431
Akash G ,2019-Nov,2456
Akash G ,2019-Oct,2449
Akash G ,2019-Sep,2414
